

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
148.538  000.046  000.046: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
148.604  000.043  000.043: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
148.636  000.009  000.009: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
148.717  000.058  000.058: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
150.998  001.840  001.840: require('mini.starter')
151.039  002.230  000.390: sourcing /Users/abraxas/.config/nvim/plugin/packer_compiled.lua
151.444  000.026  000.026: sourcing /usr/local/share/nvim/runtime/plugin/editorconfig.lua
151.501  000.032  000.032: sourcing /usr/local/share/nvim/runtime/plugin/man.lua
151.553  000.029  000.029: sourcing /usr/local/share/nvim/runtime/plugin/nvim.lua
151.570  002.275: loading rtp plugins
152.381  000.138  000.138: sourcing /Users/abraxas/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
152.750  000.089  000.089: require('diffview.lazy')
153.397  000.080  000.080: require('diffview.ffi')
153.534  000.135  000.135: require('diffview.oop')
153.555  000.588  000.373: require('diffview.async')
153.707  000.077  000.077: require('diffview.mock')
153.724  000.955  000.290: require('diffview.logger')
